track_id,track_name,duration_ms,popularity,explicit,key,mode,tempo,time_signature,preview_url,artist_genres
0urwezEloZZmgir2LYqwZP,motions (feat. FLOOR CRY) - Shaolin Cowboy's 4am Remix,265871,7,False,,,,,,"lo-fi house, bedroom pop, lo-fi house, jazz house"
7hZ2IDi9ubFqEYjM0SvpGs,D-D-Dance,222240,33,False,,,,,,
2BBSKgfN3dt6bVm8wIs7wx,Патрики,199115,16,False,,,,,,
59lq75uFIqzUZcgZ4CbqFG,Let Go for Tonight,238413,40,False,,,,,,
6QSwRZoiBj0xV1BmLffAWl,Man O To - Be Svendsen Remix,419960,0,False,,,,,,"organic house, organic house, tribal house, downtempo"
5L9eeKnX43kXBPdKvOKyDv,Whats Good?,426658,6,False,,,,,,"acid techno, techno, hard techno"
5PrtrQ5DDtyHX9lhRk83Uk,The Glitzy Hive,231442,0,False,,,,,,"chillwave, indie electronic"
0wIblt271U2oH60h7w8ECA,Lillo,518293,31,False,,,,,,progressive house
6PkzXU8dlwtfrwyTlUyVnv,Show Me Love - EDX Remix / Radio Edit,180336,59,False,,,,,,"tropical house, future house, house, progressive house, deep house"
5FEIQzXG0J0xEkNolFbgHu,Приворот,212000,37,False,,,,,,"witch house, darkwave, witch house"
3yoWBFuanYVmwbJ4jF0AQi,Could You Be Loved,237133,0,False,,,,,,"reggae, roots reggae"
7HoQr9PghRcBYAqOLaZP0Z,2 Million Ways - Axwell Remix,418168,19,False,,,,,,
2xkn18PZVf7DGtpOOADAPI,Number One,174250,37,True,,,,,,"hard house, eurodance, techno, trance, hard house, eurodance, hypertechno, techno, trance"
7f60h7a6XrU3kaA8zGnfip,Osaka Madness,316082,24,False,,,,,,minimal techno
4lriIG2vNqwDWzOj2I9rtj,Ma Meilleure Ennemie (from the series Arcane League of Legends),147973,75,False,,,,,,"french pop, french pop"
1vL1H3YVbjDDnIMtjGiR9i,Boy Boy Boy - Joris Voorn Remix (Radio Edit),252000,0,False,,,,,,"deep house, melodic techno, melodic house, deep house"
3f4fc8c8unrQeKecmUPEDR,Warriors,204586,60,False,,,,,,
5BHQgdYNXLHFSZaoSGXQh5,Primer,186516,0,False,,,,,,"progressive house, big room, edm"
7DImv0qWPEiAYUPJ0yKuDd,Sunset,218586,0,False,,,,,,
3xl7PsO7Hzuig6To9FgDm6,Left Outside Alone,257426,65,False,,,,,,
7dRoKrWenRRyhCbSicZwoA,Decade,229152,42,False,,,,,,"melodic house, melodic techno, progressive house, deep house, melodic house, melodic techno, deep house"
4z7maGZkAonDlXlwo8q69f,Da Ya Think I'm Sexy?,331333,74,False,,,,,,soft rock
1ssOMVb1Z1Ymk3xhNT9WFx,CHROMA 001 HELIUM,287447,27,False,,,,,,
540k1IRl5UPMhVhpu1LRQ3,Sucker (from the series Arcane League of Legends),224293,60,True,,,,,,"modern blues, blues rock"
6OuCn9U38PTT7Xld8hRXjT,Heaven Sent - Original Mix,317697,0,False,,,,,,"tech house, house"
6OayG4DsR0qqB5HRaYbIL0,Insomnia,214229,0,False,,,,,,"edm, progressive house"
5qv8RDbrZMdmXs23yqavHY,Freedom - Original Mix,283645,0,False,,,,,,"melodic techno, melodic house, techno, minimal techno, melodic techno, melodic house"
2A71NM7aFRvDoyCNKyYjID,Magna Spe,492551,15,False,,,,,,"melodic techno, minimal techno, techno, melodic house"
5WVFPLZt8IoT4iXJ0JeXaM,Restless Spheres,232333,0,False,,,,,,"trip hop, downtempo"
6E9f8SeaMbq0eCeHkyKB1q,劇伴特化型1☆極★服,204440,28,False,,,,,,"anime, soundtrack"
2X5esn2dNHC4ykQCovRWLl,Soldier,138769,0,False,,,,,,
